id,kode_accurate,woo_product_id,woo_sku_full,woo_name,is_active,created_at,updated_at,confidence_score,match_method,woo_variation_id,needs_review,triggered_by
53,100394,3280,100394,MOTHERBOARD MSI PRO B760M-A WIFI DDR4 LGA1700 - mAtx,true,2026-05-18 06:39:13.929512+00,2026-05-22 10:33:53.556017+00,100,sku_exact,,false,
54,A1400KA-FHD421,3259,A1400KA-FHD421,ASUS VIVOBOOK 14 A1400KA FHD421 INTEL CELERON N4500 4GB 256GB 14″ FHD WIN 11 HOME + OHS 2021,true,2026-05-18 06:39:13.929512+00,2026-05-19 08:13:30.63379+00,100,sku_exact,,false,
55,100782,3166,100782,ACER ASPIRE LITE AL14-51M-59YA I5-1235U 8GB 512GB 14.0 WUXGA IPS W11+ OHS,true,2026-05-18 06:39:13.929512+00,2026-05-22 10:33:53.556017+00,100,sku_exact,,false,
2253,2511000001,25718,2511000001 / 2511000002,EARPHONE HYPERX CLOUD EARBUDS II WITH FREE POUCH 3.5mm AUDIO JACK,true,2026-05-20 09:11:50.694558+00,2026-05-22 10:33:53.556017+00,95,sku_multi,,false,
2254,2511000002,25718,2511000001 / 2511000002,EARPHONE HYPERX CLOUD EARBUDS II WITH FREE POUCH 3.5mm AUDIO JACK,true,2026-05-20 09:11:50.694558+00,2026-05-22 10:33:53.556017+00,95,sku_multi,,false,
2255,2511000074,25566,2511000074 / 2511000075,CASING DEEPCOOL CH690 DIGITAL MID TOWER - ATX,true,2026-05-20 09:11:50.694558+00,2026-05-22 10:33:53.556017+00,95,sku_multi,,false,
2256,2511000075,25566,2511000074 / 2511000075,CASING DEEPCOOL CH690 DIGITAL MID TOWER - ATX,true,2026-05-20 09:11:50.694558+00,2026-05-22 10:33:53.556017+00,95,sku_multi,,false,
2257,2510000268,25555,2510000268,"MONITOR LG 27G610A-B 27"" FLAT IPS QHD (2560x1440) 200Hz 95%sRGB",true,2026-05-20 09:11:50.694558+00,2026-05-22 10:33:53.556017+00,100,sku_exact,,false,
2258,2511000067,25518,2511000067,POWER SUPPLY DEEPCOOL PF600X 600W 80+ BRONZE - NON MODULAR,true,2026-05-20 09:11:50.694558+00,2026-05-22 10:33:53.556017+00,100,sku_exact,,false,
2260,2510000160,25186,2510000160,COOLING PAD NYK NEMESIS BEIRUZ AX3 WITH PLATE TOPPER,true,2026-05-20 09:11:50.694558+00,2026-05-22 10:33:53.556017+00,100,sku_exact,,false,
2261,2508000167,25178,2508000167,CASING NYK NEMESIS PALLAS T59 MID TOWER (INCLUDE FAN 3) - ATX,true,2026-05-20 09:11:50.694558+00,2026-05-22 10:33:53.556017+00,100,sku_exact,,false,
2262,2508000168,25172,2508000168,CASING NYK NEMESIS CORA FC3 MID TOWER (INCLUDE FAN 4) - ATX,true,2026-05-20 09:11:50.694558+00,2026-05-22 10:33:53.556017+00,100,sku_exact,,false,
2263,2510000137,24898,2510000137 / 2510000138,CASING NZXT H3 FLOW MID TOWER - mATX,true,2026-05-20 09:11:50.694558+00,2026-05-22 10:33:53.556017+00,95,sku_multi,,false,
2264,2510000138,24898,2510000137 / 2510000138,CASING NZXT H3 FLOW MID TOWER - mATX,true,2026-05-20 09:11:50.694558+00,2026-05-22 10:33:53.556017+00,95,sku_multi,,false,
2265,2506000345,21203,2506000345,"MONITOR LG ULTRAGEAR 27GS50F-B 27"" FLAT VA FHD (1920x1080) 180Hz 72% NTSC",true,2026-05-20 09:11:50.694558+00,2026-05-22 10:33:53.556017+00,100,sku_exact,,false,
2271,2504000252,11712,2504000252,TP-LINK TL-WN781ND 150Mbps Wireless N PCI Express Adapter,true,2026-05-20 09:11:50.694558+00,2026-05-22 10:33:53.556017+00,100,sku_exact,,false,
2284,2503000399,7563,2503000399,TP-LINK TL-WN722N 150Mbps High Gain Wireless USB Adapter,true,2026-05-20 09:11:50.694558+00,2026-05-22 10:33:53.556017+00,100,sku_exact,,false,
2287,100179,3983,100179 / 100181,RAM PC DDR5 ADATA XPG LANCER 16GB (2x8GB) 5200Mhz,true,2026-05-20 09:11:50.694558+00,2026-05-22 10:33:53.556017+00,95,sku_multi,,false,
2582,100675,8572,100675,PRINTER CANON G2770 ALL IN ONE,true,2026-05-20 09:11:52.550637+00,2026-05-22 10:33:53.556017+00,100,sku_exact,,false,
2602,100565,8401,100565,PRINTER EPSON L4260 A4 Duplex AIO | WI-FI,true,2026-05-20 09:11:52.550637+00,2026-05-22 10:33:53.556017+00,100,sku_exact,,false,
3241,2506000047,12285,2506000047,LENOVO LOQ 15AHP9 83DX0037ID RYZEN 5-8645HS 8GB 512GB RTX4050 6GB 15.6″ FHD WIN 11 HOME + OHS 2021,true,2026-05-22 09:43:44.599505+00,2026-05-22 09:43:44.599505+00,100,manual_fix,,false,
3242,2511000194,29898,2511000194,UGREEN AUX STEREO AUDIO SPLITTER JACK 3.5MM MALE TO DUAL JACK 3.5MM 20cm - (10532),true,2026-05-22 10:33:53.556017+00,2026-05-22 10:33:53.556017+00,100,sku_exact,,false,
3276,2503000269,6703,2503000581 / 2503000270 / 2503000269,ASUS VIVOBOOK GO 14 E1404GA FHD351 FHD352 FHD353 INTEL I3-N305 8GB 512GB 14″ FHD WIN 11 HOME + OHS 2021,true,2026-05-22 10:33:53.556017+00,2026-05-22 10:33:53.556017+00,95,sku_multi,,false,
4231,2508000100,22960,,OXIMUS BRACKET TV MONITOR ARM GAS SPRINT TILT SWIVEL ROTATE TRIPLE ARM - P300,true,2026-05-28 04:27:42.411945+00,2026-05-28 04:27:42.411945+00,100,manual,,false,
4232,100710,11475,,PROCESSOR AMD RYZEN 5-5600GT 3.6GHz Up to 4.6GHZ AM4 WITH WRAITH STEALTH COOLER,true,2026-05-28 10:15:41.68675+00,2026-05-28 10:15:41.68675+00,100,manual,,false,
4233,100709,11479,,PROCESSOR AMD RYZEN 5-8600G 4.3 – 5GHZ WITH WRAITH STEALTH COOLER AM5,true,2026-05-28 10:16:22.824636+00,2026-05-28 10:16:22.824636+00,100,manual,,false,
4234,100682,8583,,GAMEPAD FANTECH WGP15 EPSILON BLACK Wireless Bluetooth,true,2026-05-28 10:17:35.128347+00,2026-05-28 10:17:35.128347+00,100,manual,,false,
4241,101276,13663,,CASING COOLER MASTER MASTERBOX MB311L ARGB MINI TOWER - mATX,true,2026-05-28 10:31:44.544525+00,2026-05-28 10:31:44.544525+00,100,manual,,false,
4242,101262,19850,,CARTRIDGE TINTA PRINTER HP 680 BLACK & TRI COLOR (WARNA: BLACK),true,2026-05-28 10:32:35.959885+00,2026-05-28 10:32:35.959885+00,100,manual,19851,false,
4243,101214,12172,981-000979,LOGITECH G335 7.1 LIGHTSPEED WIRED GAMING HEADSET (WARNA: BLACK),true,2026-05-28 10:33:08.733541+00,2026-05-28 10:33:08.733541+00,100,manual,12180,false,
4244,101259,17642,,MODEM TELKOMSEL B320 ORBIT STAR H2 PORTABLE WIFI 4G HIGH SPEED DATA,true,2026-05-28 10:38:13.529917+00,2026-05-28 10:38:13.529917+00,100,manual,,false,
4245,2602000237,28492,,VGA CARD GALAX RTX 5060 8GB 1-Click OC WHITE V2 GDDR7,true,2026-06-20 06:51:26.927733+00,2026-06-20 06:51:26.927733+00,100,manual,,false,
4255,100023,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4256,100019,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4257,100021,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4258,100820,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4259,100560,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4260,100424,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4261,100450,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4262,100014,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4263,100463,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4264,100821,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4265,101052,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4266,100508,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4267,100461,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4268,100532,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4269,100453,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4270,101292,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4271,100547,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4272,100990,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4273,100541,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4274,100542,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4275,100540,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4276,101055,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4277,101418,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4278,101355,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4279,100546,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4280,100544,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4281,100535,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4282,100545,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4283,100539,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4284,101397,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4285,100538,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4286,100814,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4287,100719,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4288,100720,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4289,100029,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4290,100470,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4291,101305,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4292,101130,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4293,A15 FA506NF,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4294,100041,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4295,100137,0,,IGNORED,false,2026-07-08 10:06:37.985224+00,2026-07-08 10:06:37.985224+00,100,auto_ignore,,false,
4296,100138,0,,IGNORED,false,2026-07-08 10:06:38.842456+00,2026-07-08 10:06:38.842456+00,100,auto_ignore,,false,
4297,100135,0,,IGNORED,false,2026-07-08 10:06:38.842456+00,2026-07-08 10:06:38.842456+00,100,auto_ignore,,false,
4298,100136,0,,IGNORED,false,2026-07-08 10:06:38.842456+00,2026-07-08 10:06:38.842456+00,100,auto_ignore,,false,
4299,100040,0,,IGNORED,false,2026-07-08 10:06:38.842456+00,2026-07-08 10:06:38.842456+00,100,auto_ignore,,false,
4300,101431,0,,IGNORED,false,2026-07-08 10:06:38.842456+00,2026-07-08 10:06:38.842456+00,100,auto_ignore,,false,
4301,101430,0,,IGNORED,false,2026-07-08 10:06:38.842456+00,2026-07-08 10:06:38.842456+00,100,auto_ignore,,false,
