NO,KODE ACCURATE,NAMA BARANG,UPC/BARCODE,NAMA KATEGORI,NAMA BRAND,STATUS,STOK
282,100030,FSP HV PRO 650W 85+ BRONZE,,PSU 650W,FSP,YA,0
283,100319,GAMEPAD FANTECH EOS VEGA GP15 WIRED - BLACK,6972661289657,GAMEPAD,FANTECH,TIDAK,0
284,100317,GAMEPAD FANTECH NOVA PRO WGP14 V2  ATOMIC - PINK,100317,GAMEPAD,FANTECH,YA,0
285,100316,GAMEPAD FANTECH NOVA PRO WGP14 V2  POLARIS - BLUE,6972661285048,GAMEPAD,FANTECH,YA,0
286,100318,GAMEPAD FANTECH NOVA PRO WGP14 V2 ATOMIC - PURPLE,6972661285024,GAMEPAD,FANTECH,YA,0
287,100315,GAMEPAD FANTECH NOVA PRO WGP14 V2 EPSILON - BLACK,6972661285055,GAMEPAD,FANTECH,YA,0
288,100313,GAMEPAD FANTECH SHOOTER II WGP13 - BLUE,6972661286922,GAMEPAD,FANTECH,YA,0
289,100314,GAMEPAD FANTECH SHOOTER II WGP13 - WHITE,6972661286939,GAMEPAD,FANTECH,YA,0
290,101094,GAMEPAD FANTECH SHOOTER III WGP13S - BLACK,101094,GAMEPAD,FANTECH,YA,0
291,101095,GAMEPAD FANTECH SHOOTER III WGP13S - GREY,101095,GAMEPAD,FANTECH,YA,0
292,101096,GAMEPAD FANTECH SHOOTER III WGP13S - PINK,6977052251732,GAMEPAD,FANTECH,YA,0
293,101097,GAMEPAD FANTECH SHOOTER III WGP13S - WHITE,101097,GAMEPAD,FANTECH,YA,0
294,100682,GAMEPAD FANTECH EPSILON WGP15 WIRELESS - BLACK,,GAMEPAD,FANTECH,TIDAK,0
295,101225,GAMEPAD LOGITECH F710 NEW,101225,GAMEPAD,LOGITECH,YA,0
296,101211,GAMEPAD LOGITECH NEW F310,101211,GAMEPAD,LOGITECH,YA,0
297,100241,GAMEPAD REXUS BLUETOOTH GLADIUS GX300 V.2 - BLACK,100241,GAMEPAD,REXUS,YA,0
298,100242,GAMEPAD REXUS BLUETOOTH GLADIUS GX300 V.2 - WHITE,100242,GAMEPAD,REXUS,YA,0
299,100235,GAMEPAD REXUS GLADIUS GX1 MULTIPLATFORM - BLACK,100235,GAMEPAD,REXUS,YA,0
300,100236,GAMEPAD REXUS GLADIUS GX1 MULTIPLATFORM - WHITE,100236,GAMEPAD,REXUS,YA,0
301,100237,GAMEPAD REXUS GLADIUS GX2 MULTIPLATFORM - BLACK,100237,GAMEPAD,REXUS,YA,0
302,100238,GAMEPAD REXUS GLADIUS GX2 MULTIPLATFORM - WHITE,100238,GAMEPAD,REXUS,YA,0
303,100895,GAMEPAD REXUS WIRELESS ASTA GX150 - WHITE,100895,GAMEPAD,REXUS,YA,0
304,100239,GAMEPAD REXUS WIRELESS DAXA  ASTERIA AX1 V.2- BLACK,6991014327686,GAMEPAD,REXUS,YA,0
305,100240,GAMEPAD REXUS WIRELESS DAXA ASTERIA AX1 V.2 - WHITE,6991014328652,GAMEPAD,REXUS,YA,0
306,100684,GAMING HEADSET CLIP MEOW AC5001 BLACK,,,,TIDAK,0
307,100894,GAMPAD REXUS WIRELESS ASTA GX150 - BLACK,100894,GAMEPAD,REXUS,YA,0
308,100042,HANDPHONE OPPO A60 BIRU 8/128,,,,TIDAK,0
309,100031,HDD WD PURPLE 2TB 3.5,,HARDDISK INTERNAL,WD (WESTERN DIGITAL),YA,0
310,100061,"TOSHIBA CANVIO BASICS A3 TYPE-C PORTABLE HARD DRIVE 1TB, BLACK",4547808811880,HARDDISK EXTERNAL,TOSHIBA,YA,0
311,100062,"TOSHIBA CANVIO BASICS A3 TYPE-C PORTABLE HARD DRIVE 2TB, BLACK",100062,HARDDISK EXTERNAL,TOSHIBA,YA,0
312,100065,"TOSHIBA CANVIO READY B3 PORTABLE HARD DRIVE 4TB, BLACK",,HARDDISK EXTERNAL,TOSHIBA,YA,0
313,100422,HDD 3.5 WD 4TB SATA 7200Rpm PURPLE,,HARDDISK INTERNAL,WD (WESTERN DIGITAL),TIDAK,0
314,100786,HDD SEAGATE BARRACUDA 2TB,,HARDDISK INTERNAL,SEAGATE,YA,0
315,100787,HDD SEAGTAE SKYHAWK 2TB,100787,HARDDISK INTERNAL,SEAGATE,YA,0
316,100788,HDD SEAGATE SKYHAWK 1TB,100788,HARDDISK INTERNAL,SEAGATE,YA,0
317,100609,HDMI HDTV 10M BLUE BOX,100609,KABEL HDMI TO HDMI,,TIDAK,1
318,100610,HDMI HDTV 15M BLUE BOX,,,,YA,0
319,100607,HDMI HDTV 3M BLUE BOX,,,,YA,0
320,100608,HDMI HDTV 5M BLUE BOX,6997546447120,,,TIDAK,0
321,100379,HEADSET  PORTAL 7.1 HG28 GAMING -BLACK,6972661283754,HEADSET GAMING WIRED,FANTECH,TIDAK,0
